"name","Population","Parent","Frequency"
"Experiment_042-Plate_001-Experimental-G10 gap1_ars_8.fcs","zero_copy","Single_cells",0.133614701858941
"Experiment_042-Plate_001-Experimental-G10 gap1_ars_8.fcs","one_copy","Single_cells",29.9159075725602
"Experiment_042-Plate_001-Experimental-G10 gap1_ars_8.fcs","two_copy","Single_cells",44.3282679929163
"Experiment_042-Plate_001-Experimental-G10 gap1_ars_8.fcs","multi_copy","Single_cells",0
"Experiment_042-Plate_001-Experimental-H3 gap1_1.fcs","zero_copy","Single_cells",0.231605202209157
"Experiment_042-Plate_001-Experimental-H3 gap1_1.fcs","one_copy","Single_cells",87.6280509531445
"Experiment_042-Plate_001-Experimental-H3 gap1_1.fcs","two_copy","Single_cells",4.60426688045608
"Experiment_042-Plate_001-Experimental-H3 gap1_1.fcs","multi_copy","Single_cells",0.00668091929449492
"Experiment_042-Plate_001-Experimental-H5 gap1_3.fcs","zero_copy","Single_cells",0.558726940115933
"Experiment_042-Plate_001-Experimental-H5 gap1_3.fcs","one_copy","Single_cells",96.5550682153799
"Experiment_042-Plate_001-Experimental-H5 gap1_3.fcs","two_copy","Single_cells",1.04692424676556
"Experiment_042-Plate_001-Experimental-H5 gap1_3.fcs","multi_copy","Single_cells",0
"Experiment_042-Plate_001-Experimental-H7 gap1_5.fcs","zero_copy","Single_cells",0.27471280025428
"Experiment_042-Plate_001-Experimental-H7 gap1_5.fcs","one_copy","Single_cells",76.9366117241066
"Experiment_042-Plate_001-Experimental-H7 gap1_5.fcs","two_copy","Single_cells",11.0918131044817
"Experiment_042-Plate_001-Experimental-H7 gap1_5.fcs","multi_copy","Single_cells",0.0306497752349816
"Experiment_042-Plate_001-Experimental-H9 gap1_ltr_7.fcs","zero_copy","Single_cells",0.28193715243476
"Experiment_042-Plate_001-Experimental-H9 gap1_ltr_7.fcs","one_copy","Single_cells",93.8184724334284
"Experiment_042-Plate_001-Experimental-H9 gap1_ltr_7.fcs","two_copy","Single_cells",2.18778790334218
"Experiment_042-Plate_001-Experimental-H9 gap1_ltr_7.fcs","multi_copy","Single_cells",0.00332996636733969
"Experiment_042-Plate_001-Reference Group-B3 Unstained (Cells).fcs","zero_copy","Single_cells",91.6640159949107
"Experiment_042-Plate_001-Reference Group-B3 Unstained (Cells).fcs","one_copy","Single_cells",0.00227200436224838
"Experiment_042-Plate_001-Reference Group-B3 Unstained (Cells).fcs","two_copy","Single_cells",0
"Experiment_042-Plate_001-Reference Group-B3 Unstained (Cells).fcs","multi_copy","Single_cells",0
"Experiment_042-Plate_001-Reference Group-F3 DGY1315 mCitrine (Cells).fcs","zero_copy","Single_cells",0.239633606933698
"Experiment_042-Plate_001-Reference Group-F3 DGY1315 mCitrine (Cells).fcs","one_copy","Single_cells",0.194842278534876
"Experiment_042-Plate_001-Reference Group-F3 DGY1315 mCitrine (Cells).fcs","two_copy","Single_cells",97.5487945533745
"Experiment_042-Plate_001-Reference Group-F3 DGY1315 mCitrine (Cells).fcs","multi_copy","Single_cells",0.378486724970046
